,34.5,,,,WR20,KC,26,,,RB20,DEN,25,,,TE20,WAS,35,,,QB20,JAX,26,
,,,,,DK Metcalf,,,,,Tony Pollard,,,,,Hunter Henry,,,,,Cam Ward,,,
,30.1,,,,WR21,PIT,28,,,RB21,TEN,29,,,TE21,NE,31,,,QB21,TEN,24,
,,,,,Tetairoa McMillan,,,,,Isiah Pacheco,,,,,,,,,,Justin Fields,,,
,29.9,,,,WR22,CAR,23,,,RB22,KC,27,,,,,,,,QB22,NYJ,27,
,,,,,DJ Moore,,,,,D'Andre Swift,,,,,,,,,,Geno Smith,,,
,28.0,,,,WR23,CHI,29,,,RB23,CHI,27,,,,,,,,QB23,LV,35,
,,,,,Courtland Sutton,,,,,Quinshon Judkins,,,,,,,,,,Bryce Young,,,
,27.4,,,,WR24,DEN,30,+0.9,,RB24,CLE,22,,,,,,,,QB24,CAR,25,
,,,,,Xavier Worthy,,,,,Aaron Jones,,,,,,,,,,Michael Penix Jr.,,,
,26.9,,,,WR25,KC,23,,,RB25,MIN,31,+1.2,,,,,,,QB25,ATL,26,
,,,,,Jaylen Waddle,,,,,Kaleb Johnson,,,,,,,,,,Matthew Stafford,,,
,25.2,,,,WR26,MIA,27,+1.8,,RB26,PIT,22,,,,,,,,QB26,LAR,38,+1.9
,,,,,Zay Flowers,,,,,Tyrone Tracy Jr.,,,,,,,,,,Sam Darnold,,,
,24.2,,,,WR27,BAL,26,,,RB27,NYG,26,,,,,,,,QB27,SEA,29,
,,,,,Jameson Williams,,,,,Cam Skattebo,,,,,,,,,,Aaron Rodgers,,,
,22.9,,,,WR28,DET,25,,,RB28,NYG,24,,,,,,,,QB28,PIT,42,+0.2
,,,,,Travis Hunter,,,,,Javonte Williams,,,,,,,,,,Russell Wilson,,,
,21.8,,,,WR29,JAX,23,,,RB29,DAL,26,,,,,,,,QB29,NYG,37,+1.4
,,,,,Jordan Addison,,,,,Travis Etienne Jr.,,,,,,,,,,,,,
,20.5,,,,WR30,MIN,24,,,RB30,JAX,27,,,,,,,,,,,
,,,,,Calvin Ridley,,,,,J.K. Dobbins,,,,,,,,,,,,,
,19.7,,,,WR31,TEN,31,,,RB31,DEN,27,,,,,,,,,,,
,,,,,Chris Olave,,,,,Jaylen Warren,,,,,,,,,,,,,
,18.6,,,,WR32,NO,26,,,RB32,PIT,27,,,,,,,,,,,
,,,,,Emeka Egbuka,,,,,Rhamondre Stevenson,,,,,,,,,,,,,
,16.4,,,,WR33,TB,23,,,RB33,NE,28,,,,,,,,,,,
,,,,,Jerry Jeudy,,,,,Brian Robinson Jr.,,,,,,,,,,,,,
,15.3,,,,WR34,CLE,27,,,RB34,WAS,27,+1.7,,,,,,,,,,
,,,,,Rome Odunze,,,,,Najee Harris,,,,,,,,,,,,,
,11.6,,,,WR35,CHI,24,,,RB35,LAC,28,,,,,,,,,,,
,,,,,George Pickens,,,,,Zach Charbonnet,,,,,,,,,,,,,
,11.2,,,,WR36,DAL,25,+2.4,,RB36,SEA,25,+0.6,,,,,,,,,,
,,,,,Deebo Samuel,,,,,Tank Bigsby,,,,,,,,,,,,,
,10.9,,,,WR37,WAS,30,,,RB37,JAX,24,,,,,,,,,,,
,,,,,Jakobi Meyers,,,,,Rachaad White,,,,,,,,,,,,,
,10.8,,,,WR38,LV,29,+1.0,,RB38,TB,27,,,,,,,,,,,
,,,,,Jauan Jennings,,,,,Braelon Allen,,,,,,,,,,,,,
,10.3,,,,WR39,SF,29,,,RB39,NYJ,22,,,,,,,,,,,
,,,,,Stefon Diggs,,,,,Jordan Mason,,,,,,,,,,,,,
,6.6,,,,WR40,NE,32,,,RB40,MIN,27,+1.0,,,,,,,,,,
,,,,,Khalil Shakir,,,,,Isaac Guerendo,,,,,,,,,,,,,
,6.6,,,,WR41,BUF,26,,,RB41,SF,25,,,,,,,,,,,
,,,,,Cooper Kupp,,,,,Ray Davis,,,,,,,,,,,,,
,6.5,,,,WR42,SEA,33,,,RB42,BUF,26,+0.4,,,,,,,,,,
,,,,,Chris Godwin,,,,,Tyjae Spears,,,,,,,,,,,,,
,6.2,,,,WR43,TB,30,,,RB43,TEN,25,+2.4,,,,,,,,,,
,,,,,Matthew Golden,,,,,Trey Benson,,,,,,,,,,,,,
,6.1,,,,WR44,GB,23,,,RB44,ARI,24,+0.8,,,,,,,,,,
,,,,,Keon Coleman,,,,,Dylan Sampson,,,,,,,,,,,,,
,5.9,,,,WR45,BUF,23,,,RB45,CLE,21,,,,,,,,,,,
,,,,,Josh Downs,,,,,Bhayshul Tuten,,,,,,,,,,,,,
,5.8,,,,WR46,IND,25,,,RB46,JAX,23,,,,,,,,,,,
,,,,,Jayden Reed,,,,,Jaydon Blue,,,,,,,,,,,,,
,5.7,,,,WR47,GB,26,+0.9,,RB47,DAL,22,,,,,,,,,,,
,,,,,Ricky Pearsall,,,,,,,,,,,,,,,,,,
,5.6,,,,WR48,SF,25,+1.0,,,,,,,,,,,,,,,
,,,,,Michael Pittman Jr.,,,,,,,,,,,,,,,,,,
,5.4,,,,WR49,IND,28,,,,,,,,,,,,,,,,
,,,,,Darnell Mooney,,,,,,,,,,,,,,,,,,
,4.6,,,,WR50,ATL,28,,,,,,,,,,,,,,,,
,,,,,Rashid Shaheed,,,,,,,,,,,,,,,,,,
,4.3,,,,WR51,NO,28,,,,,,,,,,,,,,,,
,,,,,Jayden Higgins,,,,,,,,,,,,,,,,,,
,4.2,,,,WR52,HOU,23,,,,,,,,,,,,,,,,
,,,,,Tre Harris,,,,,,,,,,,,,,,,,,
,3.8,,,,WR53,LAC,24,+0.0,,,,,,,,,,,,,,,
,,,,,Luther Burden III,,,,,,,,,,,,,,,,,,
,3.7,,,,WR54,CHI,22,,,,,,,,,,,,,,,,
,,,,,Brandon Aiyuk,,,,,,,,,,,,,,,,,,
,3.0,,,,WR55,SF,28,,,,,,,,,,,,,,,,
,,,,,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,
,2.9,,,,WR56,DEN,24,,,,,,,,,,,,,,,,
,,,,,Amari Cooper,,,,,,,,,,,,,,,,,,
,2.9,,,,WR57,LV,32,,,,,,,,,,,,,,,,
,,,,,Adam Thielen,,,,,,,,,,,,,,,,,,
,2.9,,,,WR58,CAR,36,,,,,,,,,,,,,,,,
,,,,,Kayshon Boutte,,,,,,,,,,,,,,,,,,
,2.7,,,,WR59,NE,24,,,,,,,,,,,,,,,,
,,,,,Wan'Dale Robinson,,,,,,,,,,,,,,,,,,
,2.7,,,,WR60,NYG,25,+2.2,,,,,,,,,,,,,,,
